year,amount,paid,postcode
2019,423.0,true,V11 F9ZZ
2018,423.0,true,V11 F9ZZ
2015,252.459311526,false,V11 J6OO
2016,235.9432818,false,V11 J6OO
2017,220.50773999999998,false,V11 J6OO
2018,206.082,false,V11 J6OO
2019,192.6,false,V11 J6OO
2015,5925.781062207501,false,V94 H2PP
2016,5538.113142250001,false,V94 H2PP
2017,5175.806675000001,false,V94 H2PP
2018,4837.2025,false,V94 H2PP
2019,4520.75,false,V94 H2PP
2015,252.459311526,false,V11 F4FF
2016,235.9432818,false,V11 F4FF
2017,220.50773999999998,false,V11 F4FF
2018,206.082,false,V11 F4FF
2019,192.6,false,V11 F4FF
2015,224.408276912,false,V11 Z8UI
2016,209.7273616,false,V11 Z8UI
2017,196.00688,false,V11 Z8UI
2018,183.184,false,V11 Z8UI
2019,171.2,false,V11 Z8UI
2015,175.3189663375,false,V94 T9PX
2016,163.84950125,false,V94 T9PX
2017,153.13037500000002,false,V94 T9PX
2018,143.1125,false,V94 T9PX
2019,133.75,false,V94 T9PX
2015,364.663449982,false,V95 DW9N
2016,340.80696259999996,false,V95 DW9N
2017,318.51117999999997,false,V95 DW9N
2018,297.674,false,V95 DW9N
2019,278.2,false,V95 DW9N
2015,3155.7413940750002,false,H91 KN56
2016,2949.2910225,false,H91 KN56
2017,2756.34675,false,H91 KN56
2018,2576.025,false,H91 KN56
2019,2407.5,false,H91 KN56
